,time_point,type_0.91,crispr,count_bac,count_phage,bac_presence,phage_presence
0,0,1,2,3.0,0.0,1,0
1,0,2,2,1.0,0.0,0,0
2,0,3,2,11.0,0.0,1,0
3,0,4,2,2.0,0.0,1,0
4,0,5,2,6.0,0.0,1,0
5,0,6,2,3.0,0.0,1,0
6,0,10,2,10.0,0.0,1,0
7,0,15,1,1.0,0.0,0,0
8,0,15,2,1.0,0.0,0,0
9,0,24,2,1.0,0.0,0,0
10,0,35,1,3.0,0.0,1,0
11,0,48,1,1.0,0.0,0,0
12,0,48,2,10.0,0.0,1,0
13,0,53,1,9.0,0.0,1,0
14,0,61,2,3.0,0.0,1,0
15,0,62,2,7.0,0.0,1,0
16,0,67,2,3.0,0.0,1,0
17,0,71,1,8.0,0.0,1,0
18,0,80,1,1.0,0.0,0,0
19,0,81,1,15.0,0.0,1,0
20,0,89,1,14.0,0.0,1,0
21,0,92,1,1.0,0.0,0,0
22,0,93,1,10.0,0.0,1,0
23,0,96,1,16.0,0.0,1,0
24,0,105,1,14.0,0.0,1,0
25,0,105,2,1.0,0.0,0,0
26,0,108,2,1.0,0.0,0,0
27,0,109,1,8.0,0.0,1,0
28,0,117,1,13.0,0.0,1,0
29,0,118,2,1.0,0.0,0,0
30,0,125,1,1.0,0.0,0,0
31,0,125,2,1.0,0.0,0,0
32,0,129,1,1.0,0.0,0,0
33,0,131,1,1.0,0.0,0,0
34,0,136,1,16.0,0.0,1,0
35,0,151,1,1.0,0.0,0,0
36,0,152,1,17.0,0.0,1,0
37,0,160,1,17.0,0.0,1,0
38,0,163,1,1.0,0.0,0,0
39,0,169,1,5.0,0.0,1,0
40,0,178,1,13.0,0.0,1,0
41,0,181,1,1.0,0.0,0,0
42,0,184,2,1.0,0.0,0,0
43,0,189,1,1.0,0.0,0,0
44,0,189,2,1.0,0.0,0,0
45,0,190,1,5.0,0.0,1,0
46,0,196,2,1.0,0.0,0,0
47,0,199,1,1.0,0.0,0,0
48,0,206,1,1.0,0.0,0,0
49,0,216,1,1.0,0.0,0,0
50,0,221,1,15.0,0.0,1,0
51,0,230,1,1.0,0.0,0,0
52,0,240,1,16.0,0.0,1,0
53,0,244,1,9.0,0.0,1,0
54,0,248,1,15.0,0.0,1,0
55,0,258,2,1.0,0.0,0,0
56,0,262,1,1.0,0.0,0,0
57,0,263,1,1.0,0.0,0,0
58,0,266,1,12.0,0.0,1,0
59,0,267,1,9.0,0.0,1,0
60,0,296,1,1.0,0.0,0,0
61,0,300,1,12.0,0.0,1,0
62,0,300,2,1.0,0.0,0,0
63,0,305,1,5.0,0.0,1,0
64,0,307,1,7.0,0.0,1,0
65,0,309,1,15.0,0.0,1,0
66,0,314,1,1.0,0.0,0,0
67,0,315,1,15.0,0.0,1,0
68,0,319,1,1.0,0.0,0,0
69,0,331,1,7.0,0.0,1,0
70,0,340,1,4.0,0.0,1,0
71,0,341,2,1.0,0.0,0,0
72,0,345,1,2.0,0.0,1,0
73,0,359,1,1.0,0.0,0,0
74,0,361,1,1.0,0.0,0,0
75,0,376,2,1.0,0.0,0,0
76,0,377,1,9.0,0.0,1,0
77,0,379,1,11.0,0.0,1,0
78,0,402,1,5.0,0.0,1,0
79,0,411,1,1.0,0.0,0,0
80,0,418,1,17.0,0.0,1,0
81,0,420,1,1.0,0.0,0,0
82,0,433,2,1.0,0.0,0,0
83,0,434,1,1.0,0.0,0,0
84,0,440,2,1.0,0.0,0,0
85,0,445,1,4.0,0.0,1,0
86,0,464,1,11.0,0.0,1,0
87,0,471,1,9.0,0.0,1,0
88,0,479,1,6.0,0.0,1,0
89,0,480,1,20.0,0.0,1,0
90,0,482,1,11.0,0.0,1,0
91,0,503,1,2.0,0.0,1,0
92,0,505,1,1.0,0.0,0,0
93,0,508,2,1.0,0.0,0,0
94,0,519,1,1.0,0.0,0,0
95,0,521,1,3.0,0.0,1,0
96,0,527,1,1.0,0.0,0,0
97,0,534,2,1.0,0.0,0,0
98,0,560,1,1.0,0.0,0,0
99,0,568,1,4.0,0.0,1,0
100,0,569,1,1.0,0.0,0,0
101,0,599,1,1.0,0.0,0,0
102,0,610,1,14.0,0.0,1,0
103,0,620,1,1.0,0.0,0,0
104,0,623,1,12.0,0.0,1,0
105,0,646,1,16.0,0.0,1,0
106,0,656,1,1.0,0.0,0,0
107,0,683,1,2.0,0.0,1,0
108,0,685,1,1.0,0.0,0,0
109,0,688,1,9.0,0.0,1,0
110,0,692,1,1.0,0.0,0,0
111,0,727,1,2.0,0.0,1,0
112,0,733,1,1.0,0.0,0,0
113,0,741,1,12.0,0.0,1,0
114,0,755,1,2.0,0.0,1,0
115,0,756,1,1.0,0.0,0,0
116,0,771,1,1.0,0.0,0,0
117,0,775,1,1.0,0.0,0,0
118,0,780,1,2.0,0.0,1,0
119,0,832,1,3.0,0.0,1,0
120,0,858,1,17.0,0.0,1,0
121,0,861,1,2.0,0.0,1,0
122,0,898,1,1.0,0.0,0,0
123,0,922,1,2.0,0.0,1,0
124,0,970,1,1.0,0.0,0,0
125,0,977,1,9.0,0.0,1,0
126,0,980,1,8.0,0.0,1,0
127,0,981,1,1.0,0.0,0,0
128,0,991,1,1.0,0.0,0,0
129,0,1014,1,1.0,0.0,0,0
130,0,1056,1,10.0,0.0,1,0
131,0,1076,1,1.0,0.0,0,0
132,0,1094,1,15.0,0.0,1,0
133,0,1095,1,1.0,0.0,0,0
134,0,1127,1,2.0,0.0,1,0
135,0,1133,1,2.0,0.0,1,0
136,0,1138,1,2.0,0.0,1,0
137,0,1141,1,18.0,0.0,1,0
138,0,1142,1,4.0,0.0,1,0
139,0,1147,1,2.0,0.0,1,0
140,0,1149,1,2.0,0.0,1,0
141,0,1170,1,1.0,0.0,0,0
142,0,1172,1,2.0,0.0,1,0
143,0,1204,1,1.0,0.0,0,0
144,0,1209,1,1.0,0.0,0,0
145,0,1212,1,1.0,0.0,0,0
146,0,1222,1,1.0,0.0,0,0
147,0,1235,1,1.0,0.0,0,0
148,0,1242,1,1.0,0.0,0,0
149,0,1252,1,1.0,0.0,0,0
150,0,1361,1,1.0,0.0,0,0
151,0,1369,1,2.0,0.0,1,0
152,0,1374,1,1.0,0.0,0,0
153,0,1375,1,5.0,0.0,1,0
154,0,1377,1,1.0,0.0,0,0
155,0,1395,1,1.0,0.0,0,0
156,0,1426,1,1.0,0.0,0,0
157,0,1490,1,1.0,0.0,0,0
158,0,1534,1,1.0,0.0,0,0
159,0,1543,1,1.0,0.0,0,0
160,0,1547,1,2.0,0.0,1,0
161,0,1551,1,1.0,0.0,0,0
162,0,1661,1,1.0,0.0,0,0
163,0,1666,1,1.0,0.0,0,0
164,0,1695,1,18.0,0.0,1,0
165,0,1713,1,1.0,0.0,0,0
166,0,1715,1,1.0,0.0,0,0
167,0,1784,1,17.0,0.0,1,0
168,0,1794,1,1.0,0.0,0,0
169,0,1825,1,2.0,0.0,1,0
170,0,1832,1,1.0,0.0,0,0
171,0,1841,1,1.0,0.0,0,0
172,0,1885,1,1.0,0.0,0,0
173,0,1938,1,1.0,0.0,0,0
174,0,1965,1,1.0,0.0,0,0
175,0,1967,1,1.0,0.0,0,0
176,0,1991,1,1.0,0.0,0,0
177,0,2017,1,1.0,0.0,0,0
178,0,2083,1,1.0,0.0,0,0
179,0,2118,1,1.0,0.0,0,0
180,0,2150,1,2.0,0.0,1,0
181,0,2171,1,1.0,0.0,0,0
182,0,2190,1,1.0,0.0,0,0
183,0,2230,1,1.0,0.0,0,0
184,0,2268,1,1.0,0.0,0,0
185,0,2272,1,1.0,0.0,0,0
186,0,2280,1,1.0,0.0,0,0
187,0,2282,1,2.0,0.0,1,0
188,0,2300,1,1.0,0.0,0,0
189,0,2314,1,1.0,0.0,0,0
190,0,2325,1,1.0,0.0,0,0
191,0,2335,1,1.0,0.0,0,0
192,0,2432,1,1.0,0.0,0,0
193,0,2541,1,1.0,0.0,0,0
194,0,2574,1,5.0,0.0,1,0
195,0,2587,1,1.0,0.0,0,0
196,0,2621,1,1.0,0.0,0,0
197,0,2631,1,1.0,0.0,0,0
198,0,2673,1,1.0,0.0,0,0
199,0,2678,1,1.0,0.0,0,0
200,0,2692,1,1.0,0.0,0,0
201,0,2708,1,1.0,0.0,0,0
202,0,2727,1,1.0,0.0,0,0
203,0,2754,1,1.0,0.0,0,0
204,0,2767,1,1.0,0.0,0,0
205,0,2786,1,1.0,0.0,0,0
206,0,2791,1,1.0,0.0,0,0
207,0,2799,1,1.0,0.0,0,0
208,0,2825,1,1.0,0.0,0,0
209,0,2865,1,1.0,0.0,0,0
210,0,2932,1,1.0,0.0,0,0
211,0,2951,1,1.0,0.0,0,0
212,0,2988,1,1.0,0.0,0,0
213,0,3049,1,1.0,0.0,0,0
214,0,3051,1,1.0,0.0,0,0
215,0,3101,1,1.0,0.0,0,0
216,0,3135,1,1.0,0.0,0,0
217,0,3182,1,1.0,0.0,0,0
218,0,3208,1,1.0,0.0,0,0
219,0,3408,1,1.0,0.0,0,0
220,0,3419,1,1.0,0.0,0,0
221,0,3533,1,1.0,0.0,0,0
222,0,3559,1,1.0,0.0,0,0
223,0,3564,1,1.0,0.0,0,0
224,0,3666,1,1.0,0.0,0,0
225,0,3760,1,1.0,0.0,0,0
226,0,3906,1,1.0,0.0,0,0
227,0,3911,1,1.0,0.0,0,0
228,0,3923,1,1.0,0.0,0,0
229,0,4003,1,1.0,0.0,0,0
230,0,4097,1,1.0,0.0,0,0
231,0,4105,1,1.0,0.0,0,0
232,0,4155,1,1.0,0.0,0,0
233,0,4173,1,1.0,0.0,0,0
234,0,4175,1,1.0,0.0,0,0
235,0,4179,1,1.0,0.0,0,0
236,0,4204,1,1.0,0.0,0,0
237,0,4205,1,1.0,0.0,0,0
238,0,4221,1,1.0,0.0,0,0
239,0,4231,1,1.0,0.0,0,0
240,0,4265,1,1.0,0.0,0,0
241,0,4329,1,1.0,0.0,0,0
242,0,4362,1,1.0,0.0,0,0
243,0,4382,1,5.0,0.0,1,0
244,0,4397,1,1.0,0.0,0,0
245,0,4515,1,1.0,0.0,0,0
246,0,4553,1,1.0,0.0,0,0
247,1,6,2,1.0,0.0,0,0
248,1,24,2,1.0,0.0,0,0
249,1,37,2,1.0,0.0,0,0
250,1,48,2,1.0,0.0,0,0
251,1,61,2,1.0,0.0,0,0
252,1,62,2,1.0,0.0,0,0
253,1,66,2,1.0,0.0,0,0
254,1,71,1,1.0,0.0,0,0
