,time_point,type_0.93,crispr,count_bac,count_phage,bac_presence,phage_presence
0,0,1,2,7.0,0.0,1,0
1,0,2,2,10.0,0.0,1,0
2,0,3,1,2.0,0.0,1,0
3,0,4,1,1.0,0.0,1,0
4,0,4,2,1.0,0.0,1,0
5,0,5,2,3.0,0.0,1,0
6,0,6,2,1.0,0.0,1,0
7,0,9,2,1.0,0.0,1,0
8,0,11,2,1.0,0.0,1,0
9,0,12,2,10.0,0.0,1,0
10,0,13,2,3.0,0.0,1,0
11,0,15,1,9.0,0.0,1,0
12,0,16,2,6.0,0.0,1,0
13,0,17,2,10.0,0.0,1,0
14,0,18,1,1.0,0.0,1,0
15,0,19,1,6.0,0.0,1,0
16,0,19,2,2.0,0.0,1,0
17,0,23,1,1.0,0.0,1,0
18,0,28,1,1.0,0.0,1,0
19,0,29,1,5.0,0.0,1,0
20,0,30,2,3.0,0.0,1,0
21,0,33,1,17.0,0.0,1,0
22,0,33,2,2.0,0.0,1,0
23,0,37,1,1.0,0.0,1,0
24,0,43,1,9.0,0.0,1,0
25,0,44,1,12.0,0.0,1,0
26,0,49,1,4.0,0.0,1,0
27,0,74,1,1.0,0.0,1,0
28,0,81,1,15.0,0.0,1,0
29,0,91,1,15.0,0.0,1,0
30,0,94,2,1.0,0.0,1,0
31,0,95,1,1.0,0.0,1,0
32,0,95,2,1.0,0.0,1,0
33,0,98,1,11.0,0.0,1,0
34,0,102,1,1.0,0.0,1,0
35,0,105,1,1.0,0.0,1,0
36,0,106,1,9.0,0.0,1,0
37,0,120,1,1.0,0.0,1,0
38,0,136,1,1.0,0.0,1,0
39,0,144,1,10.0,0.0,1,0
40,0,146,1,4.0,0.0,1,0
41,0,153,2,1.0,0.0,1,0
42,0,164,2,1.0,0.0,1,0
43,0,171,1,2.0,0.0,1,0
44,0,178,1,1.0,0.0,1,0
45,0,181,1,8.0,0.0,1,0
46,0,209,1,14.0,0.0,1,0
47,0,213,1,3.0,0.0,1,0
48,0,228,1,17.0,0.0,1,0
49,0,236,2,1.0,0.0,1,0
50,0,242,1,16.0,0.0,1,0
51,0,243,2,1.0,0.0,1,0
52,0,246,1,17.0,0.0,1,0
53,0,250,1,17.0,0.0,1,0
54,0,251,2,1.0,0.0,1,0
55,0,273,1,9.0,0.0,1,0
56,0,275,2,1.0,0.0,1,0
57,0,321,1,1.0,0.0,1,0
58,0,322,1,8.0,0.0,1,0
59,0,326,1,9.0,0.0,1,0
60,0,353,1,1.0,0.0,1,0
61,0,361,1,1.0,1.0,1,1
62,0,365,1,16.0,0.0,1,0
63,0,377,1,2.0,0.0,1,0
64,0,378,2,1.0,0.0,1,0
65,0,390,1,2.0,0.0,1,0
66,0,393,2,1.0,0.0,1,0
67,0,397,1,13.0,0.0,1,0
68,0,406,1,1.0,0.0,1,0
69,0,408,1,12.0,0.0,1,0
70,0,415,1,5.0,0.0,1,0
71,0,420,1,3.0,0.0,1,0
72,0,440,2,1.0,0.0,1,0
73,0,442,1,1.0,0.0,1,0
74,0,447,1,1.0,0.0,1,0
75,0,448,1,1.0,0.0,1,0
76,0,450,1,11.0,0.0,1,0
77,0,479,1,12.0,0.0,1,0
78,0,483,1,2.0,0.0,1,0
79,0,492,1,4.0,0.0,1,0
80,0,494,1,20.0,0.0,1,0
81,0,497,2,1.0,0.0,1,0
82,0,499,1,17.0,0.0,1,0
83,0,508,1,1.0,0.0,1,0
84,0,509,2,1.0,0.0,1,0
85,0,511,1,11.0,0.0,1,0
86,0,526,1,1.0,0.0,1,0
87,0,541,1,8.0,0.0,1,0
88,0,546,1,1.0,0.0,1,0
89,0,560,2,1.0,0.0,1,0
90,0,565,1,11.0,0.0,1,0
91,0,586,1,1.0,0.0,1,0
92,0,595,2,1.0,0.0,1,0
93,0,596,1,9.0,0.0,1,0
94,0,603,1,1.0,0.0,1,0
95,0,609,2,1.0,0.0,1,0
96,0,664,1,2.0,0.0,1,0
97,0,712,1,1.0,1.0,1,1
98,0,718,1,2.0,0.0,1,0
99,0,728,1,7.0,0.0,1,0
100,0,734,1,3.0,0.0,1,0
