,time_point,type_0.87,crispr,count_bac,count_phage,bac_presence,phage_presence
0,0,1,1,13.0,0.0,1,0
1,0,1,2,1.0,0.0,0,0
2,0,2,1,16.0,0.0,1,0
3,0,2,2,1.0,0.0,0,0
4,0,4,1,3.0,0.0,1,0
5,0,5,1,12.0,0.0,1,0
6,0,5,2,4.0,0.0,1,0
7,0,6,2,14.0,0.0,1,0
8,0,7,1,18.0,0.0,1,0
9,0,7,2,3.0,0.0,1,0
10,0,8,1,16.0,0.0,1,0
11,0,8,2,10.0,0.0,1,0
12,0,10,1,11.0,0.0,1,0
13,0,11,1,14.0,0.0,1,0
14,0,12,1,15.0,0.0,1,0
15,0,12,2,8.0,0.0,1,0
16,0,15,2,4.0,0.0,1,0
17,0,17,1,18.0,0.0,1,0
18,0,18,1,10.0,0.0,1,0
19,0,20,1,11.0,0.0,1,0
20,0,21,1,5.0,0.0,1,0
21,0,21,2,7.0,0.0,1,0
22,0,22,1,4.0,0.0,1,0
23,0,23,2,10.0,0.0,1,0
24,0,28,1,5.0,0.0,1,0
25,0,29,1,18.0,0.0,1,0
26,0,30,1,1.0,0.0,0,0
27,0,31,1,4.0,0.0,1,0
28,0,34,1,5.0,0.0,1,0
29,0,38,1,2.0,0.0,1,0
30,0,41,1,1.0,0.0,0,0
31,0,46,1,9.0,0.0,1,0
32,0,48,2,3.0,0.0,1,0
33,0,56,1,5.0,0.0,1,0
34,0,57,1,18.0,0.0,1,0
35,0,62,1,6.0,0.0,1,0
36,0,64,1,14.0,0.0,1,0
37,0,68,1,18.0,0.0,1,0
38,0,69,1,17.0,0.0,1,0
39,0,74,1,8.0,0.0,1,0
40,0,76,1,1.0,0.0,0,0
41,0,78,1,1.0,0.0,0,0
42,0,81,1,2.0,0.0,1,0
43,0,84,1,5.0,0.0,1,0
44,0,85,2,1.0,0.0,0,0
45,0,86,1,5.0,0.0,1,0
46,0,90,1,1.0,0.0,0,0
47,0,95,1,1.0,0.0,0,0
48,0,98,1,16.0,0.0,1,0
49,0,101,1,10.0,0.0,1,0
50,0,108,2,1.0,0.0,0,0
51,0,110,1,15.0,0.0,1,0
52,0,111,1,9.0,0.0,1,0
53,0,120,1,11.0,0.0,1,0
54,0,121,1,14.0,0.0,1,0
55,0,122,1,17.0,0.0,1,0
56,0,124,1,7.0,0.0,1,0
57,0,126,2,1.0,0.0,0,0
58,0,128,1,1.0,0.0,0,0
59,0,129,1,12.0,0.0,1,0
60,0,138,1,4.0,0.0,1,0
61,0,140,1,11.0,0.0,1,0
62,0,142,1,1.0,0.0,0,0
63,0,146,1,15.0,0.0,1,0
64,0,155,1,13.0,0.0,1,0
65,0,168,1,1.0,0.0,0,0
