,time_point,type_0.96,crispr,count_bac,count_phage,bac_presence,phage_presence
0,0,0,2,9.0,0.0,1,0
1,0,1,1,1.0,1.0,0,0
2,0,2,2,1.0,0.0,0,0
3,0,3,1,1.0,0.0,0,0
4,0,3,2,5.0,0.0,1,0
5,0,4,2,2.0,0.0,1,0
6,0,5,1,3.0,4.0,1,1
7,0,7,2,1.0,0.0,0,0
8,0,10,2,1.0,0.0,0,0
9,0,14,2,2.0,0.0,1,0
10,0,15,1,2.0,11.0,1,1
11,0,16,1,1.0,2.0,0,1
12,0,20,2,8.0,0.0,1,0
13,0,21,1,11.0,12.0,1,1
14,0,21,2,1.0,0.0,0,0
15,0,32,1,2.0,0.0,1,0
16,0,36,2,5.0,0.0,1,0
17,0,47,1,1.0,1.0,0,0
18,0,51,2,2.0,0.0,1,0
19,0,57,1,11.0,13.0,1,1
20,0,58,2,1.0,0.0,0,0
21,0,70,1,5.0,5.0,1,1
22,0,75,2,1.0,0.0,0,0
23,0,92,2,10.0,0.0,1,0
24,0,100,1,11.0,12.0,1,1
25,0,106,1,2.0,0.0,1,0
26,0,106,2,3.0,0.0,1,0
27,0,108,2,1.0,0.0,0,0
28,0,112,1,1.0,1.0,0,0
29,0,138,1,1.0,1.0,0,0
30,0,157,1,14.0,14.0,1,1
31,0,160,2,1.0,0.0,0,0
32,0,165,2,1.0,0.0,0,0
33,0,168,1,11.0,11.0,1,1
34,0,170,1,1.0,0.0,0,0
35,0,181,1,3.0,3.0,1,1
36,0,191,1,1.0,0.0,0,0
37,0,193,1,1.0,1.0,0,0
38,0,196,2,1.0,0.0,0,0
39,0,210,2,3.0,0.0,1,0
40,0,211,2,1.0,0.0,0,0
41,0,225,1,8.0,9.0,1,1
42,0,270,1,1.0,0.0,0,0
43,0,277,1,3.0,10.0,1,1
44,0,283,1,9.0,14.0,1,1
45,0,293,1,1.0,0.0,0,0
46,0,296,1,3.0,3.0,1,1
47,0,318,2,1.0,0.0,0,0
48,0,342,1,5.0,7.0,1,1
49,0,356,1,8.0,10.0,1,1
50,0,383,1,6.0,6.0,1,1
51,0,385,1,1.0,0.0,0,0
52,0,392,1,1.0,1.0,0,0
53,0,396,2,1.0,0.0,0,0
54,0,405,2,1.0,0.0,0,0
55,0,422,2,1.0,0.0,0,0
56,0,424,1,2.0,2.0,1,1
57,0,427,1,4.0,4.0,1,1
58,0,433,1,15.0,17.0,1,1
59,0,433,2,1.0,0.0,0,0
60,0,440,2,1.0,0.0,0,0
61,0,441,1,1.0,1.0,0,0
62,0,455,1,2.0,0.0,1,0
63,0,472,1,1.0,1.0,0,0
64,0,477,1,1.0,1.0,0,0
65,0,484,1,4.0,5.0,1,1
66,0,497,1,17.0,17.0,1,1
67,0,508,2,1.0,0.0,0,0
68,0,530,1,1.0,1.0,0,0
69,0,534,2,1.0,0.0,0,0
70,0,549,2,1.0,0.0,0,0
71,0,554,1,1.0,1.0,0,0
72,0,555,2,1.0,0.0,0,0
73,0,593,1,15.0,0.0,1,0
74,0,602,2,1.0,0.0,0,0
75,0,636,1,2.0,2.0,1,1
76,0,662,1,1.0,0.0,0,0
77,0,664,1,2.0,2.0,1,1
78,0,683,2,1.0,0.0,0,0
79,0,722,1,2.0,7.0,1,1
80,0,730,1,1.0,0.0,0,0
81,0,738,2,1.0,0.0,0,0
82,0,740,2,1.0,0.0,0,0
83,0,753,2,1.0,0.0,0,0
84,0,760,2,1.0,0.0,0,0
85,0,792,1,13.0,26.0,1,1
86,0,806,1,2.0,0.0,1,0
87,0,814,1,1.0,0.0,0,0
88,0,816,1,8.0,8.0,1,1
89,0,845,1,1.0,11.0,0,1
90,0,855,1,1.0,8.0,0,1
91,0,914,1,2.0,0.0,1,0
92,0,989,1,1.0,0.0,0,0
93,0,1073,1,5.0,12.0,1,1
94,0,1135,1,1.0,0.0,0,0
